iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
325	237	265	237	340	237	340	265
326	237	265	237	340	237	340	265
327	239	267	239	340	239	340	267
328	239	267	239	340	239	340	267
329	239	267	239	340	239	340	267
330	239	267	239	340	239	340	267
331	239	267	239	340	239	340	267
332	239	267	239	340	239	340	267
333	239	267	239	340	239	340	267
334	239	267	239	340	239	340	267
335	239	267	239	340	239	340	267
336	239	267	239	340	239	340	267
337	239	267	239	340	239	340	267
338	239	267	239	340	239	340	267
339	239	267	239	340	239	340	267
340	239	267	239	340	239	340	267
341	239	269	239	340	239	340	269
342	239	269	239	340	239	340	269
343	239	267	239	340	239	340	267
344	239	267	239	340	239	340	267
345	239	267	239	340	239	340	267
346	239	267	239	340	239	340	267
347	239	267	239	340	239	340	267
348	239	267	239	340	239	340	267
349	239	267	239	340	239	340	267
350	239	267	239	340	239	340	267
351	239	267	239	340	239	340	267
352	239	267	239	340	239	340	267
353	239	267	239	340	239	340	267
354	239	267	239	340	239	340	267
355	239	267	239	340	239	340	267
356	239	267	239	340	239	340	267
357	239	267	239	340	239	340	267
358	239	267	239	340	239	340	267
359	239	267	239	340	239	340	267
360	240	268	240	340	240	340	268
361	240	268	240	340	240	340	268
362	241	269	241	340	241	340	269
363	241	269	241	340	241	340	269
364	241	269	241	340	241	340	269
365	241	269	241	340	241	340	269
366	241	269	241	340	241	340	269
367	241	269	241	340	241	340	269
368	241	269	241	340	241	340	269
369	241	269	241	340	241	340	269
370	241	269	241	340	241	340	269
371	241	269	241	340	241	340	269
372	241	269	241	340	241	340	269
373	241	269	241	340	241	340	269
374	241	269	241	340	241	340	269
375	242	270	242	340	242	340	270
376	242	270	242	340	242	340	270
377	242	270	242	340	242	340	270
378	242	270	242	340	242	340	270
379	242	270	242	340	242	340	270
380	242	270	242	340	242	340	270
381	242	270	242	340	242	340	270
382	242	270	242	340	242	340	270
383	243	271	243	340	243	340	271
384	243	271	243	340	243	340	271
385	244	272	244	340	244	340	272
386	244	272	244	340	244	340	272
387	244	272	244	340	244	340	272
388	243	271	243	340	243	340	271
389	244	272	244	340	244	340	272
390	244	272	244	340	244	340	272
391	244	272	244	340	244	340	272
392	244	272	244	340	244	340	272
393	244	272	244	340	244	340	272
394	244	272	244	340	244	340	272
395	244	272	244	340	244	340	272
396	245	273	245	340	245	340	273
397	245	273	245	340	245	340	273
398	245	273	245	340	245	340	273
399	245	273	245	340	245	340	273
400	245	273	245	340	245	340	273
401	245	273	245	340	245	340	273
402	245	273	245	340	245	340	273
403	245	273	245	340	245	340	273
404	245	273	245	340	245	340	273
405	246	274	246	340	246	340	274
406	245	273	245	340	245	340	273
407	245	273	245	340	245	340	273
408	245	273	245	340	245	340	273
409	245	273	245	340	245	340	273
