iter	Passed	Remaining
737	9024	3203
738	9038	3192
739	9057	3182
740	9079	3173
741	9093	3161
742	9116	3153
743	9136	3143
744	9152	3132
745	9178	3125
746	9193	3113
747	9206	3101
748	9221	3090
749	9239	3079
750	9261	3070
751	9274	3058
752	9289	3047
753	9309	3037
754	9328	3027
755	9349	3017
756	9378	3010
757	9395	2999
758	9410	2987
759	9426	2976
760	9449	2967
761	9463	2955
762	9478	2944
763	9493	2932
764	9510	2921
765	9528	2910
766	9547	2900
767	9561	2888
768	9583	2878
769	9597	2866
770	9611	2854
771	9626	2843
772	9641	2831
773	9656	2819
774	9681	2810
775	9726	2807
776	9739	2795
777	9755	2783
778	9775	2773
779	9801	2764
780	9821	2753
781	9837	2742
782	9852	2730
783	9941	2738
784	9982	2734
785	10017	2727
786	10031	2715
787	10047	2703
788	10065	2691
789	10080	2679
790	10096	2667
791	10111	2655
792	10130	2644
793	10148	2632
794	10165	2621
795	10175	2607
796	10194	2596
797	10210	2584
798	10226	2572
799	10241	2560
800	10261	2549
801	10275	2536
802	10300	2526
803	10316	2514
804	10330	2502
805	10362	2494
806	10377	2481
807	10403	2472
808	10418	2459
809	10439	2448
810	10455	2436
811	10469	2424
812	10488	2412
813	10506	2400
814	10522	2388
815	10535	2375
816	10550	2363
817	10565	2350
818	10578	2337
819	10593	2325
820	10614	2314
821	10631	2302
822	10653	2291
823	10671	2279
824	10683	2266
825	10698	2253
826	10716	2241
827	10735	2230
828	10749	2217
829	10768	2205
830	10787	2193
831	10800	2180
832	10820	2169
833	10851	2159
834	10895	2153
835	10957	2149
836	11015	2145
837	11032	2132
838	11047	2120
839	11071	2108
840	11089	2096
841	11102	2083
842	11116	2070
843	11132	2057
844	11148	2045
845	11165	2032
846	11180	2019
847	11193	2006
848	11209	1993
849	11224	1980
850	11241	1968
851	11257	1955
852	11279	1943
853	11292	1930
854	11313	1918
855	11340	1907
856	11359	1895
857	11375	1882
858	11388	1869
859	11401	1856
860	11416	1843
861	11433	1830
862	11464	1820
863	11482	1807
864	11496	1794
865	11509	1780
866	11524	1767
867	11538	1754
868	11560	1742
869	11574	1729
870	11588	1716
871	11602	1703
872	11615	1689
873	11629	1676
874	11639	1662
875	11654	1649
876	11665	1636
877	11674	1622
878	11687	1608
879	11701	1595
880	11717	1582
881	11728	1569
882	11737	1555
883	11747	1541
884	11762	1528
885	11767	1514
886	11775	1500
887	11785	1486
888	11794	1472
889	11803	1458
